Title,Year,Rated,Genre,Director,Actors,imdbRating
Pirates Of The Caribbean: Dead Men Tell No Tales,2017,PG-13,"Action, Adventure, Fantasy","Joachim Rønning, Espen Sandberg","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites",6.7
Baywatch,2017,R,"Action, Comedy, Crime",Seth Gordon,"Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario",5.6
Life,2017,R,"Horror, Sci-Fi, Thriller",Daniel Espinosa,"Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal",6.6
Alien: Covenant,2017,R,"Horror, Sci-Fi, Thriller",Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",6.5
"Everything, Everything",2017,PG-13,"Drama, Romance",Stella Meghie,"Amandla Stenberg, Nick Robinson, Anika Noni Rose, Ana de la Reguera",6.4
King Arthur: Legend Of The Sword,2017,PG-13,"Action, Adventure, Drama",Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",6.9
Snatched,2017,R,"Action, Comedy",Jonathan Levine,"Amy Schumer, Kim Caramele, Raven Goodwin, Katie Dippold",4.3
Guardians Of The Galaxy Vol. 2,2017,PG-13,"Action, Adventure, Sci-Fi",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",7.8
The Circle,2017,PG-13,"Drama, Sci-Fi, Thriller",James Ponsoldt,"Emma Watson, Ellar Coltrane, Glenne Headly, Bill Paxton",5.3
How To Be A Latin Lover,2017,PG-13,"Comedy, Drama",Ken Marino,"Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe",5.9
Born In China,2016,G,Documentary,Chuan Lu,"John Krasinski, Claire Keim, Xun Zhou",7.2
Unforgettable,2011–2016,TV-14,"Crime, Drama, Mystery",N/A,"Poppy Montgomery, Dylan Walsh, James Hiroyuki Liao, Jane Curtin",6.7
The Fate Of The Furious,2017,PG-13,"Action, Adventure, Crime",F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",6.8
The Gifted,2017–,TV-14,"Action, Drama, Fantasy",N/A,"Emma Dumont, Stephen Moyer, Amy Acker, Sean Teale",8.0
Smurfs: The Lost Village,2017,PG,"Animation, Adventure, Comedy",Kelly Asbury,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer",5.9
Going In Style,2017,PG-13,"Comedy, Crime",Zach Braff,"Michael Caine, Richie Moriarty, Josh Pais, John Ortiz",6.6
Wonder,2017,PG,"Drama, Family",Stephen Chbosky,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts",8.1
Ghost In The Shell,2017,PG-13,"Action, Crime, Drama",Rupert Sanders,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",6.4
The Boss Baby,2017,PG,"Animation, Comedy, Family",Tom McGrath,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",6.4
Their Finest,2016,R,"Comedy, Drama, Romance",Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston",6.8
Power Rangers,2017,PG-13,"Action, Adventure, Sci-Fi",Dean Israelite,"Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin",6.1
Wilson,2017,R,"Comedy, Drama",Craig Johnson,"Woody Harrelson, Sandy Oian-Thomas, Shaun Brown, James Robert Miller",5.8
Chips,2017,R,"Action, Comedy, Crime",Dax Shepard,"Michael Peña, Dax Shepard, Vincent D'Onofrio, Rosa Salazar",6.0
The Beauty And The Beast,2014,N/A,Romance,N/A,"Blanca Suárez, Alessandro Preziosi, Léa Bosco",N/A
Free Fire,2016,R,"Action, Comedy, Crime",Ben Wheatley,"Enzo Cilenti, Sam Riley, Michael Smiley, Brie Larson",6.5
Kong: Skull Island,2017,PG-13,"Action, Adventure, Fantasy",Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",6.7
The Last Word,2017,R,"Comedy, Drama",Mark Pellington,"Shirley MacLaine, Amanda Seyfried, AnnJewel Lee Dixon, Thomas Sadoski",6.6
Logan,2017,R,"Action, Drama, Sci-Fi",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",8.2
T2 Trainspotting,2017,R,Drama,Danny Boyle,"Ewan McGregor, Logan Gillies, Ben Skelton, Aiden Haggarty",7.3
Table 19,2017,PG-13,"Comedy, Drama, Romance",Jeffrey Blitz,"Anna Kendrick, Rya Meyers, Charles Green, Lisa Kudrow",5.8
Before I Fall,2017,PG-13,"Drama, Mystery",Ry Russo-Young,"Zoey Deutch, Halston Sage, Logan Miller, Kian Lawley",6.4
Leap!,2016,PG,"Animation, Adventure, Comedy","Eric Summer, Éric Warin, Mimi Maynard, Paulette Victor-Lifton","Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler",6.8
Get Out ,2017,R,"Horror, Mystery, Thriller",Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",7.7
The Great Wall,2016,PG-13,"Action, Adventure, Fantasy",Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",6.0
Fist Fight,2017,R,Comedy,Richie Keen,"Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell",5.6
A Cure For Wellness,2016,R,"Drama, Fantasy, Horror",Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",6.4
The Lego Batman Movie,2017,PG,"Animation, Action, Adventure",Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes",7.3
John Wick: Chapter 2,2017,R,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose",7.6
Fifty Shades Darker,2017,R,"Drama, Romance",James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",4.6
The Space Between Us,2017,PG-13,"Adventure, Drama, Romance",Peter Chelsom,"Gary Oldman, Janet Montgomery, Trey Tucker, Scott Takeda",6.4
Rings,2017,PG-13,"Drama, Horror",F. Javier Gutiérrez,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",4.5
The Comedian,2016,R,Comedy,Taylor Hackford,"Robert De Niro, Leslie Mann, Harvey Keitel, Edie Falco",5.7
The Shack,2017,PG-13,"Drama, Fantasy",Stuart Hazeldine,"Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",6.3
